Hotel Name,Rating,Rating Description,Reviews,Star Rating,Location,Nearest Landmark,Distance to Landmark,Price,Tax,City
Shivas Galaxy Hotel,4.1,Very Good,963.0,4.0,Near Bangalore Airport ,Kempegowda Airport ,8.2 km ,"2,900",604,bangalore
"The Bouvice
Like a 3",4.2,Very Good,151.0,,Koramangala,,,"2,279",624,bangalore
JW Marriott Bengaluru Prestige Golfshire Resort and Spa,4.7,Excellent,100.0,5.0,In Devanhalli ,Bangalore city centre,52.0 km ,"25,000",,bangalore
La Sara Grand (Formerly Known as Nandhana Grand),4.0,Very Good,838.0,3.0,Koramangala,,,"2,939",752,bangalore
Zone By The Park Infantry,3.9,Very Good,762.0,5.0,Infantry Road ,MG Road,1.9 km ,"4,252","1,021",bangalore
The Chancery,3.9,Very Good,2155.0,4.0,Ashok Nagar ,MG Road,980 m ,"4,230",990,bangalore
Nash Inn Electronic City,3.1,Good,321.0,,Electronic City,,,979,268,bangalore
Radisson Blu Bengaluru Outer Ring Road,4.2,Very Good,1159.0,5.0,Outer Ring Road,,,"8,000",,bangalore
"Ginger Bangalore, Whitefield",3.7,Very Good,1198.0,3.0,Brookefield,,,"1,884",,bangalore
Hotel Royal Orchid Bangalore,3.9,Very Good,2185.0,5.0,Domlur Layout,,,"7,268",872,bangalore
"The Hosteller Bangalore, Koramangala",4.3,Excellent,13.0,,Koramangala,,,"1,295",294,bangalore
Silicon City Hotel,3.4,Good,695.0,4.0,Hosur road,,,"1,586",418,bangalore
Country Inn And Suites By Radisson Bengaluru Hebbal,3.8,Very Good,1928.0,4.0,Hebbal,,,"3,500",,bangalore
Octave Himalaya Monarch,4.0,Very Good,2624.0,3.0,Gandhi Nagar,,,"1,645",333,bangalore
Greenpark Bengaluru,4.7,Excellent,62.0,4.0,Bannerghatta Main road,,,"6,345","1,350",bangalore
ITC Gardenia - A Luxury Collection Hotel,4.5,Excellent,1389.0,5.0,Ashok Nagar ,MG Road,2.1 km ,"11,700",,bangalore
The Continentti Whitefield,4.0,Very Good,1189.0,3.0,Brookefield,,,"2,791",564,bangalore
The Monarch Luxur,3.9,Very Good,775.0,4.0,Infantry Road ,MG Road,1.6 km ,"3,723",752,bangalore
Ballal Residency,3.9,Very Good,875.0,3.0,Residency Road ,MG Road,2.3 km ,"3,084",836,bangalore
Hibernest Indiranagar,4.2,Very Good,142.0,,Indiranagar,,,"1,005",325,bangalore
Fortune Park JP Celestial-Member ITC Hotel Group,3.8,Very Good,1876.0,4.0,Gandhi Nagar,,,"5,292",,bangalore
"Click Hotel Bangalore, International Airport",4.2,Very Good,438.0,3.0,Near Bangalore Airport ,Kempegowda Airport ,8.0 km ,"3,510",421,bangalore
Omatra Hotel HSR,3.4,Good,91.0,,Outer Ring Road,,,"2,194",539,bangalore
Svenska Design Hotel,3.3,Good,627.0,,Electronic City,,,"1,999",642,bangalore
Peninsula Suites,3.9,Very Good,1341.0,4.0,Whitefield,,,"2,264",306,bangalore
Iris Hotel & Spa Bangalore,4.1,Very Good,1016.0,4.0,Residency Road ,MG Road,2.1 km ,"5,330","1,247",bangalore
SM Royal Stay Hotel near Intl Airport Bangalore,4.2,Very Good,47.0,3.0,Near Bangalore Airport ,Kempegowda Airport ,5.0 km ,"1,692",360,bangalore
"Halcyon Residences
Like a 3",3.8,Very Good,613.0,,Koramangala,,,"2,759",755,bangalore
Shangri-La Bengaluru,4.5,Excellent,584.0,5.0,Palace road ,Bangalore Palace,1.9 km ,"13,500",,bangalore
The Leela Bhartiya City Bengaluru,4.6,Excellent,213.0,5.0,Tirumanahalli,,,"11,000",,bangalore
"Holiday Inn Express & Suites, OMR Bengaluru",4.1,Very Good,526.0,4.0,Whitefield,,,"3,999",,bangalore
Fairfield By Marriott Bengaluru Rajajinagar,3.9,Very Good,883.0,4.0,Rajajinagar,,,"5,400",,bangalore
The Zuri Whitefield,4.3,Excellent,662.0,5.0,Whitefield,,,"6,501",780,bangalore
MAYBAACH HOTELS,4.1,Very Good,79.0,3.0,Marathahalli,,,"2,820",660,bangalore
Regenta Place Bangalore by Royal Orchid Hotels Limited,3.5,Very Good,923.0,4.0,Shivaji Nagar ,MG Road,2.2 km ,"2,848",342,bangalore
Icon Business Hotel by Bhagini,3.6,Very Good,1024.0,3.0,HAL old airport road,,,"2,300",465,bangalore
Sterlings Mac Hotel & Suites,4.1,Very Good,732.0,5.0,HAL old airport road,,,"6,768","1,368",bangalore
Nexstay Kites Inn,4.3,Excellent,36.0,3.0,Hosur road,,,"2,799",,bangalore
The Leela Palace Bengaluru,4.5,Excellent,1048.0,5.0,HAL old airport road,,,"16,500",,bangalore
Omatra Infantry Road | Rooms in a Homestay,3.8,Very Good,319.0,,Infantry Road ,MG Road,1.4 km ,"2,098",554,bangalore
Bloom Hotel HSR Layout Sector 3,3.9,Very Good,24.0,3.0,HSR Layout,,,"5,500",,bangalore
NOOR EMPIRE INTERNATIONAL,3.7,Very Good,1552.0,3.0,Koramangala,,,"2,776",752,bangalore
Attide Biz,3.5,Very Good,468.0,3.0,Hebbal,,,"2,835",693,bangalore
Stayhome Classic,4.3,Excellent,285.0,,Bilekahalli,,,"2,345",642,bangalore
DoubleTree Suites by Hilton,4.3,Excellent,849.0,5.0,Outer Ring Road,,,"9,500",,bangalore
Bloomrooms @ Indiranagar,4.1,Very Good,874.0,3.0,Indiranagar,,,"4,300",,bangalore
RG Royal Hotel,4.2,Very Good,875.0,4.0,Yeshwanthpur,,,"3,666",741,bangalore
Four Seasons Hotel Bengaluru at Embassy One,4.8,Excellent,302.0,5.0,Ganganagar ,Palace Grounds,990 m ,"14,875",,bangalore
Ramee Strand inn,3.0,Good,348.0,3.0,Hosur road,,,"1,505",396,bangalore
Shravanthi Sarovar Portico JP Nagar,3.6,Very Good,139.0,4.0,Outer Ring Road,,,"3,977",804,bangalore
"Vivanta Bengaluru, Whitefield",4.3,Excellent,959.0,5.0,Whitefield,,,"7,500",,bangalore
"Melange Astris
Like a 3",4.1,Very Good,1006.0,,Richmond road ,Cubbon Park,2.5 km ,"4,300",969,bangalore
Octave Church Inn,3.5,Very Good,712.0,3.0,Church Street ,MG Road,94 m ,"1,669",337,bangalore
Mastiff Infantry Bengaluru,4.0,Very Good,221.0,3.0,Infantry Road ,MG Road,1.8 km ,"1,865",569,bangalore
"Taj Club House, Chennai",4.3,Excellent,2000.0,5.0,Royapettah,,,"6,390",767,chennai
The Park Chennai,3.7,Very Good,8366.0,5.0,Near US Consulate,,,"7,198","2,167",chennai
"Taj Fisherman's Cove Resort & Spa, Chennai",4.3,Excellent,1856.0,5.0,Covelong ,city centre,36.3 km ,"12,555","2,260",chennai
Hotel Savera,4.0,Very Good,7458.0,4.0,Mylapore,,,"4,612","1,091",chennai
Ibis Chennai OMR - An Accor Brand,4.1,Very Good,2545.0,4.0,Sholinganallur,,,"3,345",,chennai
"Taj Coromandel, Chennai",4.5,Excellent,784.0,5.0,Near US Consulate,,,"11,200",,chennai
Courtyard by Marriott Chennai,4.2,Very Good,1208.0,4.0,Mount road,,,"7,500",,chennai
Radisson Blu Hotel Chennai City Centre,4.3,Excellent,3991.0,5.0,Egmore,,,"9,443",,chennai
FIRST INN HOTELS,3.8,Very Good,214.0,,Perungudi,,,"2,907",594,chennai
Ibis Chennai City Centre - An Accor Brand,3.9,Very Good,2213.0,3.0,Mount road ,Thousand Lights Mosque,540 m ,"5,299",,chennai
Rohaan Inns - UPAR Ashok Nagar,4.1,Very Good,179.0,,Ashok Nagar ,Chennai Airport,9.4 km ,"1,771",495,chennai
"Vivanta Chennai, IT Expressway",4.4,Excellent,1601.0,5.0,Sholinganallur,,,"7,360",,chennai
"Taj Connemara, Chennai",4.5,Excellent,1215.0,5.0,Chennai,,,"7,600","1,368",chennai
Four Points by Sheraton Chennai OMR,4.1,Very Good,2314.0,4.0,Sholinganallur,,,"5,859","1,197",chennai
Ramada Plaza by Wyndham,4.5,Excellent,3185.0,5.0,Saidapet ,Chennai Airport,7.6 km ,"7,533","2,554",chennai
Citadines OMRChennai,4.4,Excellent,1714.0,5.0,Sholinganallur,,,"11,340",,chennai
The Leela Palace Chennai,4.5,Excellent,1261.0,5.0,Raja Annamalai Puram,,,"10,800",,chennai
"The Raintree, Annasalai",4.4,Excellent,2376.0,5.0,Mount road,,,"7,299",,chennai
Hablis,4.2,Very Good,4529.0,4.0,Mount road ,Chennai Airport,5.9 km ,"5,271","1,124",chennai
Novotel Chennai Chamiers Road,4.3,Excellent,1002.0,5.0,Nandanam,,,"7,391",,chennai
The Residency,4.2,Very Good,1714.0,4.0,T Nagar,,,"5,336","1,455",chennai
The Residency Towers,4.3,Excellent,1151.0,5.0,T Nagar,,,"6,696","1,826",chennai
Novotel Chennai OMR - An Accor Brand,4.3,Excellent,1001.0,5.0,Sholinganallur,,,"6,134",,chennai
Hotel Southern Comfort ( Chennai Airport ),3.6,Very Good,2962.0,3.0,Chennai Airport ,Chennai Airport,1.3 km ,"2,870",757,chennai
Lemon Tree Hotel Chennai,3.6,Very Good,3059.0,4.0,Saidapet ,Chennai Airport,7.8 km ,"2,487",903,chennai
The Pride Hotel Chennai,3.6,Very Good,1911.0,4.0,Kilpauk,,,"3,399",408,chennai
"Ginger Chennai, Vadapalani",3.5,Very Good,2282.0,3.0,Vadapalani,,,"2,699",,chennai
UPAR Nungambakkam,4.1,Very Good,281.0,,Nungambakkam,,,"2,716",633,chennai
Ginger Chennai,3.5,Very Good,2071.0,3.0,Tharamani,,,"3,299",,chennai
Holiday Inn Express Chennai OMR Thoraipakkam,3.5,Very Good,2087.0,4.0,Thoraipakkam,,,"3,680",480,chennai
Raj Park Chennai,3.6,Very Good,1158.0,4.0,Teynampet,,,"3,953",935,chennai
"UPAR Uthandi, ECR
Like a 3",3.6,Very Good,94.0,,East Coast Road (ECR),,,"1,317",397,chennai
Hotel Abu Palace,3.4,Good,1592.0,4.0,Purasawalkam ,Chennai Egmore Railway Station,920 m ,"2,947",789,chennai
Ramada Chennai Egmore,3.9,Very Good,4600.0,4.0,Egmore,,,"4,557","1,078",chennai
Hyatt Regency Chennai,4.1,Very Good,1152.0,5.0,Teynampet,,,"7,499",,chennai
"Lemon Tree Hotel, Shimona, Chennai",4.0,Very Good,1288.0,4.0,Manapakkam ,Chennai Airport,9.0 km ,"2,819","1,115",chennai
Trident Chennai,4.5,Excellent,1140.0,5.0,Chennai Airport ,Chennai Airport,3.0 km ,"12,750",,chennai
Holiday Inn Chennai OMR IT Expressway,4.2,Very Good,1676.0,5.0,Thiruvanmiyur,,,"7,499",,chennai
Ibis Chennai SIPCOT - An Accor Brand,4.0,Very Good,1479.0,3.0,Egatoor ,city centre,31.2 km ,"3,299",,chennai
The Accord Metropolitan,4.1,Very Good,2220.0,5.0,T Nagar,,,"6,500","1,957",chennai
Park Hyatt Chennai,4.5,Excellent,525.0,5.0,Guindy ,Chennai Airport,7.8 km ,"9,000",,chennai
OYO Home Fantasea Uthandi Near Juhu Beach,1.9,Poor,7.0,,Uthandi,,,769,40,chennai
Gokulam Park Sabari - Siruseri SIPCOT,4.2,Very Good,1271.0,4.0,Navallur,,,"5,719","1,244",chennai
BOULEVARD BY DESIGN HOTEL,4.1,Very Good,821.0,4.0,Velachery ,Chennai Airport,8.7 km ,"4,860","1,026",chennai
Fairfield by Marriott Chennai OMR,4.2,Very Good,983.0,4.0,Sholinganallur,,,"4,850",,chennai
ITC Grand Chola - A Luxury Collection Hotel,4.4,Excellent,2603.0,5.0,Guindy ,Chennai Airport,7.8 km ,"12,500",,chennai
The Ambassador Pallava,4.0,Very Good,1926.0,4.0,Egmore,,,"8,079","2,432",chennai
Le Royal Meridien,3.9,Very Good,1968.0,5.0,Mount road ,Chennai Airport,5.6 km ,"9,000",,chennai
"Taj Wellington Mews, Chennai",4.7,Excellent,327.0,5.0,Tharamani,,,"10,560",,chennai
Novotel Chennai Sipcot - An Accor Brand,4.3,Excellent,855.0,5.0,Egatoor ,city centre,31.6 km ,"8,138",,chennai
The Mount Manor,3.4,Good,874.0,3.0,Chennai Airport ,Chennai Airport,3.8 km ,"2,350",634,chennai
Green Park Chennai,4.2,Very Good,1503.0,5.0,Vadapalani,,,"6,696","1,368",chennai
Mango Hill central Chennai,3.2,Good,196.0,3.0,T Nagar,,,"3,314",677,chennai
Venture Park,3.5,Very Good,1192.0,3.0,Thoraipakkam,,,"1,315",339,chennai
Grand Chennai by GRT Hotels,4.5,Excellent,1535.0,5.0,T Nagar,,,"8,550","1,710",chennai
"Season 4 Residences, Nungambakkam",3.7,Very Good,101.0,,Near US Consulate,,,"2,591",620,chennai
Ginger Chennai OMR,4.5,Excellent,161.0,3.0,Navallur,,,"2,479",,chennai
Hotel Pandian,3.5,Very Good,2322.0,2.0,Egmore,,,"1,595",342,chennai
Hilton Chennai,4.3,Excellent,811.0,5.0,Guindy ,Chennai Airport,8.2 km ,"11,000",,chennai
FORTEL,3.5,Very Good,502.0,,Egmore,,,"3,118",703,chennai
Royal Park,3.1,Good,10.0,,Near Marina Beach,,,"1,351",407,chennai
Fairfield by Marriott Chennai Mahindra World City,4.2,Very Good,442.0,4.0,Mahindra World City ,city centre,45.7 km ,"5,533","1,130",chennai
Crossway Parklane Airport Hotel,3.2,Good,517.0,3.0,Meenambakkam ,Chennai Airport,2.9 km ,"2,544",574,chennai
Hotel Ashok Residency,3.7,Very Good,559.0,3.0,Porur,,,"4,290",933,chennai
Hotel Greens Gate (Near Central station),3.6,Very Good,1869.0,,Poongavanapuram,,,"1,887",498,chennai
HOTEL RANJITH,4.0,Very Good,159.0,3.0,Near US Consulate,,,"5,208","1,064",chennai
"Welcomhotel by ITC Hotels, GST Road, Chennai",4.2,Very Good,510.0,5.0,Singaperumal Koil ,city centre,43.6 km ,"7,200",,chennai
Regenta Central RS Chennai SIPCOT OMR,4.4,Excellent,740.0,4.0,Egatoor ,city centre,31.6 km ,"3,824",459,chennai
CRESCENT PARK (near US Consulate Chennai),4.1,Very Good,284.0,3.0,Nungambakkam,,,"2,307",471,chennai
Harrisons,4.0,Very Good,604.0,3.0,Nungambakkam,,,"3,906",798,chennai
MGM Beach Resorts (15Kms before Mahabalipuram),3.9,Very Good,2900.0,4.0,Muttukadu ,city centre,31.8 km ,"25,110","7,812",chennai
PARK PLAZA CHENNAI OMR,4.0,Very Good,198.0,5.0,Thoraipakkam,,,"4,200",,chennai
Feathers A Radha Hotel Chennai,4.3,Excellent,447.0,5.0,Manapakkam ,Chennai Airport,9.7 km ,"8,999",,chennai
V7 HOTEL,3.2,Good,1120.0,3.0,Porur,,,"3,667",896,chennai
"Keys Select by Lemon Tree Hotels, Katti-Ma, Chennai",3.7,Very Good,400.0,3.0,Adyar,,,"2,240",796,chennai
Hostel Gandhi,4.2,Very Good,109.0,,Saidapet ,Chennai Airport,8.0 km ,"1,307",107,chennai
Grand Cascade,3.6,Very Good,1402.0,3.0,Poongavanapuram ,Chennai Central Railway Station,730 m ,"2,052",502,chennai
Days Hotel Chennai OMR,4.3,Excellent,392.0,4.0,Kelambakkam ,city centre,35.3 km ,"2,767",565,chennai
PP Residency,4.0,Very Good,421.0,,Chennai ,city centre,35.0 km ,"2,768",713,chennai
Highnest | Rooms & Caretaker,3.5,Very Good,52.0,,Kattankolatur R.F. ,city centre,40.6 km ,"2,815",633,chennai
Grand Elegant,3.9,Very Good,1064.0,,Poongavanapuram,,,"2,046",418,chennai
Accord Chrome,4.5,Excellent,217.0,,Chromepet ,Chennai Airport,5.4 km ,"6,975","1,425",chennai
AVENUE HOTEL -CHENNAI AIRPORT,3.6,Very Good,1338.0,,Pallavaram ,Chennai Airport,3.1 km ,"2,671",546,chennai
La Woods hotel (1Km from us consulate chennai),4.0,Very Good,323.0,,Mount road,,,"3,360",403,chennai
E Hotel,4.1,Very Good,590.0,4.0,Royapettah,,,"6,749",810,chennai
Hotel Bakya Slot - Maraimalai Nagar,3.6,Very Good,210.0,3.0,Maraimalai Nagar ,city centre,37.4 km ,"2,046",484,chennai
Pharos Hotels,4.3,Excellent,73.0,3.0,Nungambakkam,,,"4,650","1,100",chennai
Al Noor Palace,4.0,Very Good,290.0,,Triplicane ,Marina Beach,1.8 km ,"2,093",428,chennai
JS Five two By twinstar hotel,4.0,Very Good,68.0,,Raja Annamalai Puram,,,"3,794",976,chennai
HOTEL HALEZ,4.3,Excellent,490.0,,Sholinganallur,,,"3,800",456,chennai
Essentia Premier Hotel,4.1,Very Good,63.0,4.0,Thoraipakkam,,,"3,989",479,chennai
ILARA Hotel & Spa,4.0,Very Good,785.0,3.0,Navallur,,,"2,650",576,chennai
The Centrepoint OMR,3.8,Very Good,886.0,3.0,Sholinganallur,,,"3,322",723,chennai
"KLASE HOTELS, GUINDY",3.3,Good,260.0,3.0,Mount road ,Chennai Airport,8.4 km ,"2,914",768,chennai
Just Guest House,4.0,Very Good,745.0,,Pazhavanthangal ,Chennai Airport,4.0 km ,"3,149",811,chennai
GRAND OLIVER,3.6,Very Good,490.0,,Poongavanapuram,,,"1,243",302,chennai
"Pebbles Serviced Apartments
Like a 3",4.2,Very Good,179.0,,T Nagar,,,"2,349",547,chennai
Mercure Chennai Sriperumbudur - An Accor Brand,4.2,Very Good,70.0,5.0,Oragadam ,city centre,43.0 km ,"5,900",,chennai
ZAITH RESIDENCY,3.4,Good,243.0,,Thousand Lights,,,"2,355",635,chennai
Mount Kailash Suites,4.0,Very Good,422.0,3.0,Mount road ,Chennai Airport,9.2 km ,"2,516",615,chennai
The Mount City near US Consulate,3.6,Very Good,395.0,,Triplicane ,Marina Beach,2.9 km ,"1,748",460,chennai
"Country Inn and Suites by Radisson, Sahibabad",4.2,Very Good,15697.0,5.0,In Ghaziabad ,Delhi city centre,30.0 km ,"6,249",,delhi
Radisson Blu Kaushambi Delhi NCR,4.0,Very Good,1826.0,5.0,In Ghaziabad ,Delhi city centre,28.0 km ,"5,039",605,delhi
The Ashok,3.8,Very Good,5694.0,5.0,Chanakyapuri ,T1 - Delhi Airport (IGI Airport),9.8 km ,"6,288",,delhi
Pride Plaza Hotel Aerocity New Delhi,4.0,Very Good,7275.0,5.0,Aerocity ,Indira Gandhi International Airport,4.0 km ,"6,499",780,delhi
"Golden Tulip Vasundhara Hotel & Suites, Delhi NCR",3.9,Very Good,2057.0,4.0,In Ghaziabad ,Delhi city centre,31.0 km ,"3,386",871,delhi
"Welcomhotel by ITC Hotels, Dwarka, New Delhi",4.0,Very Good,9348.0,5.0,Sector 10 Dwarka,,,"6,223",,delhi
Holiday Inn New Delhi International Airport,4.2,Very Good,5734.0,5.0,Aerocity ,Indira Gandhi International Airport,3.8 km ,"6,999",,delhi
Novotel New Delhi International Airport- An Accor hotels brand,4.1,Very Good,4534.0,5.0,Aerocity ,Indira Gandhi International Airport,4.2 km ,"7,250",,delhi
The Suryaa New Delhi,4.1,Very Good,4314.0,5.0,New Friends Colony,,,"5,348","1,092",delhi
The Hosteller Delhi | Private Rooms & Dorms,4.3,Excellent,795.0,,New Friends Colony,,,"2,228",503,delhi
The LaLiT New Delhi,4.1,Very Good,7908.0,5.0,Connaught Place,,,"9,040","2,430",delhi
Radisson Blu Plaza Delhi Airport,4.3,Excellent,7275.0,5.0,Mahipalpur ,Indira Gandhi International Airport,5.2 km ,"4,500",765,delhi
Roseate House New Delhi,4.4,Excellent,9130.0,5.0,Aerocity ,Indira Gandhi International Airport,3.5 km ,"9,649","1,737",delhi
Lemon Tree Hotel East Delhi Mall Kaushambi,3.9,Very Good,1550.0,4.0,In Ghaziabad ,Delhi city centre,24.0 km ,"2,073",752,delhi
YWCA OF DELHI BLUE TRIANGLE FAMILY HOSTEL,3.9,Very Good,505.0,,Connaught Place ,Metro Museum,690 m ,"2,620",770,delhi
Hotel Trans International,4.2,Very Good,6933.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,274",465,delhi
The Leela Ambience Convention Hotel Delhi,4.4,Excellent,3845.0,5.0,East Delhi,,,"7,499",,delhi
Jaypee Vasant Continental Hotel,4.0,Very Good,1696.0,5.0,Vasant Vihar ,T1 - Delhi Airport (IGI Airport),7.6 km ,"5,999",,delhi
YWCA INTERNATIONAL GUEST HOUSE,3.8,Very Good,412.0,,Connaught Place ,India Gate,3.0 km ,"2,408",648,delhi
Holiday Inn New Delhi Mayur Vihar,4.1,Very Good,2935.0,5.0,East Delhi,,,"6,249",,delhi
Lemon Tree Premier Delhi Airport,3.9,Very Good,9726.0,4.0,Aerocity ,Indira Gandhi International Airport,4.1 km ,"4,464","1,478",delhi
Radisson Blu Marina Hotel Connaught Place,3.8,Very Good,2642.0,5.0,Connaught Place,,,"8,000",,delhi
The Metropolitan Hotel and Spa,4.1,Very Good,4049.0,5.0,Connaught Place,,,"7,500",,delhi
The Grand New Delhi,3.8,Very Good,1885.0,5.0,Vasant Kunj ,Indira Gandhi International Airport,7.7 km ,"12,899","2,322",delhi
Crowne Plaza Mayur Vihar,4.3,Excellent,3398.0,5.0,East Delhi,,,"8,649",,delhi
Hotel Smart Plaza,4.3,Excellent,4031.0,3.0,Mahipalpur ,Indira Gandhi International Airport,4.4 km ,"1,525",423,delhi
Hotel Aero Star,4.3,Excellent,9760.0,4.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,472",505,delhi
Golden Bliss Near IGI Airport Mahipalpur,3.0,Good,108.0,,Mahipalpur ,Indira Gandhi International Airport,4.1 km ,"2,794",811,delhi
Hotel International Inn,4.1,Very Good,12005.0,3.0,Mahipalpur ,Indira Gandhi International Airport,4.3 km ,"2,199",537,delhi
The Park New Delhi,3.5,Very Good,6779.0,5.0,Connaught Place ,Connaught Place,730 m ,"7,905","2,125",delhi
ibis New Delhi Aerocity - An Accor Brand,3.7,Very Good,5538.0,4.0,Aerocity ,Indira Gandhi International Airport,4.4 km ,"5,100",,delhi
